Number,무게,두께,멀티리더기,배터리 크기,운영체제,색상
2,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,운영체제 미포함,색상: 화이트
3,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,운영체제 미포함,색상: 화이트
4,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,운영체제 미포함,색상: 화이트
5,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,운영체제 미포함,색상: 화이트
6,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
7,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
8,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
9,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
10,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
11,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
12,1.83Kg,두께:15.5mm,,83.6Wh,,색상: 그레이
13,1.05Kg,두께:16.8mm,,47Wh,운영체제 미포함,"색상: 블랙, 실버"
14,1.08Kg,두께:16.8mm,,47Wh,운영체제 미포함,"색상: 블랙, 실버"
15,2.5Kg,두께:30mm,멀티 리더기,48Wh,운영체제 미포함,색상: 블랙
16,1.89Kg,두께:19mm,멀티 리더기,62.3Wh,운영체제 미포함,색상: 실버
17,2.6Kg,두께:29mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
18,2.3Kg,두께:26mm,,57Wh,운영체제 미포함,색상: 블랙
19,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
20,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
21,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
22,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
23,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
24,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
25,2.3Kg,두께:26mm,,57Wh,운영체제 미포함,색상: 블랙
26,2.29Kg,두께:25.4mm,,52.5Wh,운영체제 미포함,
27,2.1Kg,두께:32.4mm,멀티 리더기,48Wh,운영체제 미포함,색상: 블랙
28,1.89Kg,두께:20.9mm,멀티 리더기,,운영체제 미포함,색상: 화이트
29,1.89Kg,두께:20.9mm,멀티 리더기,,운영체제 미포함,색상: 화이트
30,1.89Kg,두께:20.9mm,멀티 리더기,,운영체제 미포함,색상: 화이트
31,1.89Kg,두께:20.9mm,멀티 리더기,,운영체제 미포함,색상: 화이트
32,1.89Kg,두께:20.9mm,멀티 리더기,,운영체제 미포함,색상: 화이트
33,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
34,1.83Kg,두께:15.5mm,,83.6Wh,,색상: 그레이
35,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
36,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 다크실버
37,1.89Kg,두께:20.9mm,멀티 리더기,,윈도우10,색상: 화이트
38,1.9Kg,두께:19.6mm,,43Wh,리눅스,색상: 실버
39,1.9Kg,두께:19.6mm,,43Wh,리눅스,색상: 실버
40,1.9Kg,두께:19.6mm,,43Wh,리눅스,색상: 실버
41,1.9Kg,두께:19.6mm,,43Wh,리눅스,색상: 실버
42,1.29Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
43,1.29Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
44,1.29Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
45,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
46,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
47,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
48,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
49,1.6Kg,두께:17.9mm,멀티 리더기,,운영체제 미포함,"색상: 그레이, 블루"
50,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
51,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
52,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
53,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
54,1.89Kg,두께:19mm,,62.3Wh,운영체제 미포함,색상: 블랙
55,1.37Kg,두께:14.9mm,,58Wh,,색상: 그레이
56,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
57,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
58,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
59,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
60,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
61,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
62,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
63,1.49Kg,두께:17.9mm,멀티 리더기,52.5Wh,운영체제 미포함,"색상: 블루, 그레이"
