pdname(ID),brand,SSD.cp,HDD.cp,RAM.cp,CPU.brand,CPU.bench,core num,screen size,resolution,DDR,SSD.kind,GPU.brand,GPU.brand,VRAM,HDMI,USB num,num keypad,weight,thickness,multireader,battery,operating system,price
LG전자 2019 울트라PC 15UD590-GX50K,8,256,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,0,769000
LG전자 2019 울트라PC 15UD590-GX50K,8,512,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,0,813000
LG전자 2019 울트라PC 15UD590-GX50K,8,256,512,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,0,827000
LG전자 2019 울트라PC 15UD590-GX50K,8,256,1024,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,0,830000
LG전자 2019 그램 15ZD990-VX50K,8,256,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,0,1299000
LG전자 2019 그램 15ZD990-VX50K,8,2048,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,0,1644000
LG전자 2019 그램 15ZD990-VX50K,8,512,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,0,1350000
LG전자 2019 그램 15ZD990-VX50K,8,1024,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,0,1430000
LG전자 2019 그램 15ZD990-VX50K,8,256,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,0,1368000
LG전자 2019 그램 15ZD990-VX50K,8,1024,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,0,1640000
APPLE 맥북프로 2019년형 MV912KH/A,2,512,0,16,1,16768,8,15.4,2,1,1,1,3475,4,0,2,0,1.83,15.5,0,83.6,1,2907000
한성컴퓨터 언더케이지 TFX242,17,512,0,8,1,7989,4,14,1,1,3,0,1057,0,1,3,0,1.05,16.8,0,47,0,728000
한성컴퓨터 언더케이지 TFX245,17,512,0,8,1,7989,4,14,1,1,3,2,2629,2,1,3,0,1.08,16.8,0,47,0,806000
한성컴퓨터 BossMonster X7967T,17,256,0,8,1,13723,6,17.3,1,1,2,2,11472,6,1,4,0,2.5,30,1,48,0,1280000
한성컴퓨터 TFG255X,17,256,0,8,1,13723,6,15.6,1,1,3,2,7841,4,1,3,1,1.89,19,1,62.3,0,1150000
MSI GP시리즈 GP75 Leopard 9SD 얼티밋 파워팩 프로,9,512,2048,16,1,13723,6,17.3,1,1,3,2,11472,6,1,3,1,2.6,29,1,51,0,1561000
레노버 LEGION Y540-15IRH i7 Prime Edition,12,512,1024,16,1,13723,6,15.6,1,1,3,2,11472,6,1,2,1,2.3,26,0,57,0,1296000
LG전자 2019 그램 17ZD990-VX70K,8,256,0,8,1,8942,4,17,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72,0,1577000
LG전자 2019 그램 17ZD990-VX70K,8,512,0,8,1,8942,4,17,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72,0,1611000
LG전자 2019 그램 17ZD990-VX70K,8,1024,0,8,1,8942,4,17,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72,0,1700000
LG전자 2019 그램 17ZD990-VX70K,8,2048,0,8,1,8942,4,17,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72,0,1970000
LG전자 2019 그램 17ZD990-VX70K,8,3072,0,8,1,8942,4,17,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72,0,2385000
LG전자 2019 그램 17ZD990-VX70K,8,256,0,16,1,8942,4,17,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72,0,1639000
레노버 LEGION Y540-15IRH i7 Blade,12,256,0,8,1,13723,6,15.6,1,1,3,2,11472,6,1,2,1,2.3,26,0,57,0,1267000
HP 파빌리온 게이밍 15-dk0165TX,6,256,0,8,1,13723,6,15.6,1,1,3,2,11472,6,1,2,1,2.29,25.4,0,52.5,0,1275000
한성컴퓨터 BossMonster X5967T,17,256,0,8,1,13723,6,15.6,1,1,2,2,11472,6,1,3,1,2.1,32.4,1,48,0,1172000
LG전자 2017 울트라PC 15UD480-GX38K,8,128,0,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,0,536000
LG전자 2017 울트라PC 15UD480-GX38K,8,256,0,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,0,592000
LG전자 2017 울트라PC 15UD480-GX38K,8,512,0,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,0,619000
LG전자 2017 울트라PC 15UD480-GX38K,8,128,512,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,0,592000
LG전자 2017 울트라PC 15UD480-GX38K,8,128,1024,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,0,585000
LG전자 2019 그램 15ZD990-VX50K WIN10,8,256,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,3,1368000
APPLE 맥북프로 2019년형 MV902KH/A,2,256,0,16,1,13723,6,15.4,2,1,1,1,3141,4,0,2,0,1.83,15.5,0,83.6,1,2493000
LG전자 2019 그램 17Z990-VA5NK,8,256,0,16,1,7989,4,17,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72,3,1649000
LG전자 2019 그램 15Z990-VA5SK,8,256,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,3,1472000
LG전자 2017 울트라PC 15UD480-GX38K WIN10,8,128,0,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,3,635000
삼성전자 노트북5 metal NT560XBV-GD7A,13,256,0,8,1,8942,4,15.6,1,1,3,2,2204,2,1,2,1,1.9,19.6,0,43,2,1039000
삼성전자 노트북5 metal NT560XBV-GD7A,13,256,512,8,1,8942,4,15.6,1,1,3,2,2204,2,1,2,1,1.9,19.6,0,43,2,1131000
삼성전자 노트북5 metal NT560XBV-GD7A,13,256,1024,8,1,8942,4,15.6,1,1,3,2,2204,2,1,2,1,1.9,19.6,0,43,2,1143000
삼성전자 노트북5 metal NT560XBV-GD7A,13,256,2048,8,1,8942,4,15.6,1,1,3,2,2204,2,1,2,1,1.9,19.6,0,43,2,1217000
삼성전자 2019 노트북9 Always NT950XBE-X716A,13,512,0,16,1,8942,4,15,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75,3,1846000
삼성전자 2019 노트북9 Always NT950XBE-X716A,13,1024,0,16,1,8942,4,15,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75,3,1885000
삼성전자 2019 노트북9 Always NT950XBE-X716A,13,2048,0,16,1,8942,4,15,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75,3,2262000
삼성전자 2019 노트북9 Always NT950XBV-A58A WIN10,13,256,0,8,1,7989,4,15,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75,3,1200000
삼성전자 2019 노트북9 Always NT950XBV-A58A WIN10,13,1024,0,8,1,7989,4,15,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75,3,1521000
삼성전자 2019 노트북9 Always NT950XBV-A58A WIN10,13,2048,0,8,1,7989,4,15,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75,3,2142000
삼성전자 2019 노트북9 Always NT950XBV-A58A WIN10,13,512,0,8,1,7989,4,15,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75,3,1330000
레노버 아이디어패드 S340-15API R5,12,128,0,4,0,8148,4,15.6,1,1,3,1,1736,0,1,2,1,1.6,17.9,1,53.1,0,489000
LG전자 2019 그램 17ZD990-VX50K,8,256,0,8,1,7989,4,17,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72,0,1400000
LG전자 2019 그램 17ZD990-VX50K,8,1024,0,8,1,7989,4,17,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72,0,1514000
LG전자 2019 그램 17ZD990-VX50K,8,2048,0,8,1,7989,4,17,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72,0,1775000
LG전자 2019 그램 17ZD990-VX50K,8,512,0,8,1,7989,4,17,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72,0,1453000
한성컴퓨터 TFG256XT,17,256,0,8,1,13723,6,15.6,1,1,3,2,11472,6,1,3,1,1.89,19,0,62.3,0,1346000
APPLE 맥북프로 2018년형 MR9Q2KH/A,2,256,0,8,1,11015,4,13.3,2,2,1,0,1965,0,0,2,0,1.37,14.9,0,58,1,1733000
LG전자 2019 울트라PC 15U590-GA56K,8,256,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,908000
LG전자 2019 울트라PC 15U590-GA56K,8,512,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,978000
LG전자 2019 울트라PC 15U590-GA56K,8,1024,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,1049000
LG전자 2019 울트라PC 15U590-GA56K,8,256,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,965000
LG전자 2019 울트라PC 15U590-GA56K,8,256,512,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,955000
LG전자 2019 울트라PC 15U590-GA56K,8,256,1024,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,970000
LG전자 2019 울트라PC 15U590-GA56K,8,256,2048,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,1020000
레노버 아이디어패드 S340-14API Picasso R5,12,128,0,4,0,8148,4,14,1,1,3,1,1736,0,1,2,0,1.49,17.9,1,52.5,0,495000
LG전자 2019 울트라PC 15U490-GA56K,8,256,0,8,0,7353,4,15.6,1,1,2,1,1736,0,0,2,1,1.99,20.9,1,48,3,736000
APPLE 맥북프로 2019년형 MV972KH/A,2,512,0,8,1,11015,4,13.3,2,2,1,0,1965,0,0,2,0,1.37,14.9,0,58,1,2100000
삼성전자 노트북5 NT550EBZ-AD2A,13,128,0,4,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43,2,400000
삼성전자 노트북5 NT550EBZ-AD2A,13,256,0,4,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43,2,522000
삼성전자 노트북5 NT550EBZ-AD2A,13,512,0,4,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43,2,572000
삼성전자 노트북5 NT550EBZ-AD2A,13,128,0,8,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43,2,554000
