price,my_predict,difference
1090000,1090400.0,-400.0
1026000,1026822.0,-822.0
2350000,2350400.0,-400.0
1529000,1525242.0,3758.0
1140000,1138500.0,1500.0
1230000,1231200.0,-1200.0
1395000,1395000.0,0.0
1774000,1775308.0,-1308.0
895000,894700.0,300.0
1498590,1501676.0,-3086.0
1195000,1195200.0,-200.0
1090000,1090000.0,0.0
989000,988899.0,101.0
560000,559800.0,200.0
1198000,1198200.0,-200.0
1044990,1045400.0,-410.0
1395000,1395000.0,0.0
1480000,1479800.0,200.0
479000,475600.0,3400.0
1636000,1633900.0,2100.0
2492000,2488800.0,3200.0
1187990,1187300.0,690.0
489000,488380.0,620.0
973000,972300.0,700.0
987790,987400.0,390.0
550000,550200.0,-200.0
1269000,1268648.0,352.0
894000,894900.0,-900.0
2600000,2579100.0,20900.0
864800,865398.0,-598.0
436000,438100.0,-2100.0
463000,463000.0,0.0
1648000,1647400.0,600.0
1650000,1649299.0,701.0
957000,956900.0,100.0
2099000,2101400.0,-2400.0
2532000,2526600.0,5400.0
1480000,1479300.0,700.0
784000,784300.0,-300.0
830000,830700.0,-700.0
925000,924324.0,676.0
2130000,2134547.0,-4547.0
924000,924324.0,-324.0
612640,613248.0,-608.0
1356000,1356832.0,-832.0
1699000,1700000.0,-1000.0
2996000,2988800.0,7200.0
1674000,1674000.0,0.0
1307000,1306600.0,400.0
1082000,1082332.0,-332.0
720000,720000.0,0.0
306000,305000.0,1000.0
556000,556400.0,-400.0
2589000,2578985.0,10015.0
1318000,1318236.0,-236.0
1278000,1277686.0,314.0
2242000,2243300.0,-1300.0
1142000,1142200.0,-200.0
808990,807900.0,1090.0
1630000,1627700.0,2300.0
1938000,1935700.0,2300.0
1240000,1239600.0,400.0
829000,828600.0,400.0
990000,989999.0,1.0
513000,512500.0,500.0
671240,670500.0,740.0
2017000,2018694.0,-1694.0
462000,460200.0,1800.0
747000,747500.0,-500.0
1620000,1620000.0,0.0
3290000,3308100.0,-18100.0
262000,284359.0,-22359.0
789000,789696.0,-696.0
1042000,1041100.0,900.0
907000,908400.0,-1400.0
1438000,1439098.0,-1098.0
1207000,1205697.0,1303.0
2346000,2337400.0,8600.0
919000,918299.0,701.0
856000,856200.0,-200.0
1179000,1178900.0,100.0
795000,794600.0,400.0
1318590,1318913.0,-323.0
1127000,1125798.0,1202.0
2015000,2012700.0,2300.0
659000,658980.0,20.0
1212000,1211100.0,900.0
573000,571374.0,1626.0
832000,830200.0,1800.0
1619990,1619904.0,86.0
1160000,1159698.0,302.0
1964000,1966000.0,-2000.0
907000,908400.0,-1400.0
1058000,1057200.0,800.0
2713000,2716360.0,-3360.0
690000,688500.0,1500.0
1455000,1454904.0,96.0
811000,809039.0,1961.0
1342000,1342200.0,-200.0
1854000,1850300.0,3700.0
1445000,1443978.0,1022.0
2875000,2887100.0,-12100.0
1440000,1440099.0,-99.0
990000,990098.0,-98.0
1631000,1628600.0,2400.0
1070000,1070500.0,-500.0
1392000,1392000.0,0.0
1124000,1123498.0,502.0
1235000,1233500.0,1500.0
1585000,1584566.0,434.0
1550000,1548800.0,1200.0
1044990,1045400.0,-410.0
1062000,1062100.0,-100.0
786000,784400.0,1600.0
845000,845300.0,-300.0
890000,890797.0,-797.0
1576000,1575465.0,535.0
1058000,1056754.0,1246.0
1156200,1156960.0,-760.0
848000,847918.0,82.0
949000,949000.0,0.0
1420000,1419911.0,89.0
1352000,1349961.0,2039.0
1490000,1490098.0,-98.0
1337000,1337899.0,-899.0
1120000,1119298.0,702.0
1767000,1763600.0,3400.0
1783000,1782518.0,482.0
655000,655800.0,-800.0
1068990,1067700.0,1290.0
1315000,1315000.0,0.0
2470000,2471851.0,-1851.0
1417000,1414504.0,2496.0
1356000,1356566.0,-566.0
1575000,1574900.0,100.0
598000,598000.0,0.0
2099000,2099500.0,-500.0
1309000,1308800.0,200.0
720000,718800.0,1200.0
757000,757197.0,-197.0
1200000,1200498.0,-498.0
1258000,1257600.0,400.0
698000,697900.0,100.0
1553000,1553300.0,-300.0
1124000,1124696.0,-696.0
1128000,1126999.0,1001.0
928000,928128.0,-128.0
827200,827500.0,-300.0
1283000,1283000.0,0.0
994000,994300.0,-300.0
1070000,1070600.0,-600.0
698000,697300.0,700.0
989000,988800.0,200.0
1119000,1120231.0,-1231.0
888800,889199.0,-399.0
1055000,1054500.0,500.0
890000,890797.0,-797.0
1173000,1172900.0,100.0
1139000,1138785.0,215.0
2480000,2471876.0,8124.0
1216000,1214898.0,1102.0
382000,378300.0,3700.0
1160000,1159797.0,203.0
1078000,1077371.0,629.0
630000,627600.0,2400.0
2131860,2139741.0,-7881.0
1250000,1250100.0,-100.0
3410000,3381700.0,28300.0
2390000,2388300.0,1700.0
1528000,1524100.0,3900.0
3079000,3081800.0,-2800.0
1861000,1860400.0,600.0
2099000,2102000.0,-3000.0
1264000,1263500.0,500.0
2830000,2828700.0,1300.0
1980000,1979800.0,200.0
2493000,2488800.0,4200.0
1190000,1190300.0,-300.0
865000,865298.0,-298.0
3462000,3489100.0,-27100.0
1152000,1152000.0,0.0
791000,790400.0,600.0
1639000,1639700.0,-700.0
1876000,1874900.0,1100.0
1491000,1490699.0,301.0
880000,879100.0,900.0
2559000,2558740.0,260.0
496000,497300.0,-1300.0
1480000,1479800.0,200.0
1895000,1891800.0,3200.0
2260000,2262900.0,-2900.0
429000,427600.0,1400.0
1093000,1091100.0,1900.0
1944000,1945100.0,-1100.0
661000,659850.0,1150.0
1330000,1329499.0,501.0
1049000,1049198.0,-198.0
971000,970400.0,600.0
2192000,2187000.0,5000.0
1458000,1456600.0,1400.0
797000,797600.0,-600.0
2065000,2063700.0,1300.0
742000,739800.0,2200.0
758000,759398.0,-1398.0
1170000,1170000.0,0.0
2399000,2399000.0,0.0
1038000,1037400.0,600.0
1132000,1131800.0,200.0
900000,900300.0,-300.0
1095000,1095300.0,-300.0
1090000,1089900.0,100.0
1075000,1074600.0,400.0
1400000,1400000.0,0.0
1001000,999699.0,1301.0
1984000,1983300.0,700.0
1490000,1490199.0,-199.0
670000,669800.0,200.0
1903000,1899378.0,3622.0
830000,830300.0,-300.0
1058000,1057100.0,900.0
847000,847100.0,-100.0
1850000,1847100.0,2900.0
1524000,1523300.0,700.0
550000,550200.0,-200.0
1943000,1941700.0,1300.0
1200000,1200377.0,-377.0
1200000,1200355.0,-355.0
1889000,1890600.0,-1600.0
1428990,1430200.0,-1210.0
1286000,1286400.0,-400.0
1754870,1754700.0,170.0
667000,668500.0,-1500.0
2152000,2143847.0,8153.0
1738000,1737100.0,900.0
835000,834575.0,425.0
598000,598300.0,-300.0
539000,539100.0,-100.0
598000,597800.0,200.0
1709000,1709600.0,-600.0
400000,398220.0,1780.0
512000,509300.0,2700.0
1065000,1063300.0,1700.0
1908000,1909600.0,-1600.0
570000,569861.0,139.0
1746000,1747799.0,-1799.0
1908000,1911300.0,-3300.0
1230000,1230600.0,-600.0
1388000,1388100.0,-100.0
749000,750000.0,-1000.0
1128000,1126999.0,1001.0
2647000,2659700.0,-12700.0
785000,784500.0,500.0
913000,914000.0,-1000.0
1597000,1595400.0,1600.0
883000,882843.0,157.0
1070000,1070600.0,-600.0
1723000,1721800.0,1200.0
1405000,1405900.0,-900.0
1767000,1763400.0,3600.0
1210000,1211500.0,-1500.0
1465000,1464300.0,700.0
885000,886686.0,-1686.0
937000,936000.0,1000.0
1240000,1239900.0,100.0
1271000,1270274.0,726.0
1275200,1275075.0,125.0
3432000,3397300.0,34700.0
1565000,1563600.0,1400.0
990000,989997.0,3.0
2060000,2058000.0,2000.0
1049000,1049199.0,-199.0
1972000,1970800.0,1200.0
1450000,1450000.0,0.0
