brand,SSD.cp,HDD.cp,RAM.cp,CPU.com,CPU.av,core num,screen size,resolution,DDR,SSD.kind,GPU.com,GPU.av,VRAM,HDMI,USB num,num keypad,weight,thickness,multireader,battery,operating system,price,buble
8,256,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,0,769000,0.0
8,512,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,0,813000,2.0
8,256,512,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,0,827000,0.0
8,256,1024,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,0,830000,0.0
8,256,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,0,1299000,2.0
8,2048,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,0,1644000,2.0
8,512,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,0,1350000,1.0
8,1024,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,0,1430000,2.0
8,256,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,0,1368000,2.0
8,1024,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,0,1640000,1.0
2,512,0,16,1,16768,8,15.4,2,1,1,1,3475,4,0,2,0,1.83,15.5,0,83.6,1,2907000,1.0
17,512,0,8,1,7989,4,14.0,1,1,3,0,1057,0,1,3,0,1.05,16.8,0,47.0,0,728000,2.0
17,512,0,8,1,7989,4,14.0,1,1,3,2,2629,2,1,3,0,1.08,16.8,0,47.0,0,806000,2.0
17,256,0,8,1,13723,6,17.3,1,1,2,2,11472,6,1,4,0,2.5,30.0,1,48.0,0,1280000,1.0
17,256,0,8,1,13723,6,15.6,1,1,3,2,7841,4,1,3,1,1.89,19.0,1,62.3,0,1150000,2.0
9,512,2048,16,1,13723,6,17.3,1,1,3,2,11472,6,1,3,1,2.6,29.0,1,51.0,0,1561000,2.0
12,512,1024,16,1,13723,6,15.6,1,1,3,2,11472,6,1,2,1,2.3,26.0,0,57.0,0,1296000,2.0
8,256,0,8,1,8942,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1577000,2.0
8,512,0,8,1,8942,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1611000,1.0
8,1024,0,8,1,8942,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1700000,1.0
8,2048,0,8,1,8942,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1970000,1.0
8,3072,0,8,1,8942,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,2385000,1.0
8,256,0,16,1,8942,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1639000,0.0
12,256,0,8,1,13723,6,15.6,1,1,3,2,11472,6,1,2,1,2.3,26.0,0,57.0,0,1267000,0.0
6,256,0,8,1,13723,6,15.6,1,1,3,2,11472,6,1,2,1,2.29,25.4,0,52.5,0,1275000,0.0
17,256,0,8,1,13723,6,15.6,1,1,2,2,11472,6,1,3,1,2.1,32.4,1,48.0,0,1172000,2.0
8,128,0,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,0,536000,2.0
8,256,0,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,0,592000,1.0
8,512,0,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,0,619000,2.0
8,128,512,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,0,592000,0.0
8,128,1024,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,0,585000,2.0
8,256,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,3,1368000,2.0
2,256,0,16,1,13723,6,15.4,2,1,1,1,3141,4,0,2,0,1.83,15.5,0,83.6,1,2493000,0.0
8,256,0,16,1,7989,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,3,1649000,0.0
8,256,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,3,1472000,2.0
8,128,0,8,1,8473,2,15.6,1,1,2,0,1057,0,1,2,1,1.89,20.9,1,53.1,3,635000,2.0
13,256,0,8,1,8942,4,15.6,1,1,3,2,2204,2,1,2,1,1.9,19.6,0,43.0,2,1039000,2.0
13,256,512,8,1,8942,4,15.6,1,1,3,2,2204,2,1,2,1,1.9,19.6,0,43.0,2,1131000,0.0
13,256,1024,8,1,8942,4,15.6,1,1,3,2,2204,2,1,2,1,1.9,19.6,0,43.0,2,1143000,1.0
13,256,2048,8,1,8942,4,15.6,1,1,3,2,2204,2,1,2,1,1.9,19.6,0,43.0,2,1217000,0.0
13,512,0,16,1,8942,4,15.0,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75.0,3,1846000,1.0
13,1024,0,16,1,8942,4,15.0,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75.0,3,1885000,2.0
13,2048,0,16,1,8942,4,15.0,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75.0,3,2262000,2.0
13,256,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75.0,3,1200000,2.0
13,1024,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75.0,3,1521000,2.0
13,2048,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75.0,3,2142000,0.0
13,512,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75.0,3,1330000,2.0
12,128,0,4,0,8148,4,15.6,1,1,3,1,1736,0,1,2,1,1.6,17.9,1,53.1,0,489000,0.0
8,256,0,8,1,7989,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1400000,2.0
8,1024,0,8,1,7989,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1514000,1.0
8,2048,0,8,1,7989,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1775000,2.0
8,512,0,8,1,7989,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1453000,1.0
17,256,0,8,1,13723,6,15.6,1,1,3,2,11472,6,1,3,1,1.89,19.0,0,62.3,0,1346000,2.0
2,256,0,8,1,11015,4,13.3,2,2,1,0,1965,0,0,2,0,1.37,14.9,0,58.0,1,1733000,2.0
8,256,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,3,908000,1.0
8,512,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,3,978000,1.0
8,1024,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,3,1049000,2.0
8,256,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,3,965000,2.0
